frame,date,site,crow_all,crow_feed,proportion,Sample_Point,food_amount,distance
26,20210218,Food101,0,0,NA,101,0,40
27,20210218,Food101,0,0,NA,101,0,40
28,20210218,Food101,0,0,NA,101,0,40
29,20210218,Food101,0,0,NA,101,0,40
30,20210218,Food101,0,0,NA,101,0,40
31,20210218,Food101,0,0,NA,101,0,40
32,20210218,Food101,0,0,NA,101,0,40
33,20210218,Food101,0,0,NA,101,0,40
34,20210218,Food101,0,0,NA,101,0,40
35,20210218,Food101,0,0,NA,101,0,40
36,20210218,Food101,0,0,NA,101,0,40
37,20210218,Food101,0,0,NA,101,0,40
38,20210218,Food101,0,0,NA,101,0,40
39,20210218,Food101,0,0,NA,101,0,40
40,20210218,Food101,0,0,NA,101,0,40
1,20210218,Food102,0,0,NA,102,6,80
2,20210218,Food102,0,0,NA,102,6,80
3,20210218,Food102,0,0,NA,102,6,80
4,20210218,Food102,0,0,NA,102,6,80
5,20210218,Food102,0,0,NA,102,6,80
6,20210218,Food102,0,0,NA,102,6,80
7,20210218,Food102,0,0,NA,102,6,80
8,20210218,Food102,0,0,NA,102,6,80
9,20210218,Food102,0,0,NA,102,6,80
10,20210218,Food102,0,0,NA,102,6,80
11,20210218,Food102,0,0,NA,102,6,80
12,20210218,Food102,0,0,NA,102,6,80
13,20210218,Food102,0,0,NA,102,6,80
14,20210218,Food102,0,0,NA,102,6,80
15,20210218,Food102,0,0,NA,102,6,80
16,20210218,Food102,0,0,NA,102,6,80
17,20210218,Food102,1,1,1,102,6,80
18,20210218,Food102,1,1,1,102,6,80
19,20210218,Food102,0,0,NA,102,6,80
20,20210218,Food102,1,1,1,102,6,80
21,20210218,Food102,1,1,1,102,6,80
22,20210218,Food102,0,0,NA,102,6,80
23,20210218,Food102,1,1,1,102,6,80
24,20210218,Food102,0,0,NA,102,6,80
25,20210218,Food102,0,0,NA,102,6,80
26,20210218,Food102,0,0,NA,102,6,80
27,20210218,Food102,0,0,NA,102,6,80
28,20210218,Food102,0,0,NA,102,6,80
29,20210218,Food102,0,0,NA,102,6,80
30,20210218,Food102,0,0,NA,102,6,80
31,20210218,Food102,0,0,NA,102,6,80
32,20210218,Food102,0,0,NA,102,6,80
33,20210218,Food102,0,0,NA,102,6,80
34,20210218,Food102,0,0,NA,102,6,80
35,20210218,Food102,0,0,NA,102,6,80
36,20210218,Food102,0,0,NA,102,6,80
37,20210218,Food102,1,0,0,102,6,80
38,20210218,Food102,1,1,1,102,6,80
39,20210218,Food102,2,2,1,102,6,80
40,20210218,Food102,2,2,1,102,6,80
1,20210218,Food104,0,0,NA,104,36,120
2,20210218,Food104,0,0,NA,104,36,120
3,20210218,Food104,0,0,NA,104,36,120
4,20210218,Food104,2,0,0,104,36,120
5,20210218,Food104,2,0,0,104,36,120
6,20210218,Food104,3,0,0,104,36,120
7,20210218,Food104,6,1,0.16666666666666666,104,36,120
8,20210218,Food104,9,2,0.2222222222222222,104,36,120
9,20210218,Food104,11,1,0.09090909090909091,104,36,120
10,20210218,Food104,16,3,0.1875,104,36,120
11,20210218,Food104,17,4,0.23529411764705882,104,36,120
12,20210218,Food104,12,3,0.25,104,36,120
13,20210218,Food104,16,3,0.1875,104,36,120
14,20210218,Food104,11,2,0.18181818181818182,104,36,120
15,20210218,Food104,15,4,0.26666666666666666,104,36,120
16,20210218,Food104,15,3,0.2,104,36,120
17,20210218,Food104,21,4,0.19047619047619047,104,36,120
18,20210218,Food104,17,5,0.29411764705882354,104,36,120
19,20210218,Food104,18,4,0.2222222222222222,104,36,120
20,20210218,Food104,16,4,0.25,104,36,120
21,20210218,Food104,13,4,0.3076923076923077,104,36,120
22,20210218,Food104,12,6,0.5,104,36,120
23,20210218,Food104,11,3,0.2727272727272727,104,36,120
24,20210218,Food104,10,2,0.2,104,36,120
25,20210218,Food104,0,0,NA,104,36,120
26,20210218,Food104,14,4,0.2857142857142857,104,36,120
27,20210218,Food104,14,4,0.2857142857142857,104,36,120
28,20210218,Food104,10,6,0.6,104,36,120
29,20210218,Food104,10,7,0.7,104,36,120
30,20210218,Food104,11,5,0.45454545454545453,104,36,120
31,20210218,Food104,11,6,0.5454545454545454,104,36,120
32,20210218,Food104,16,7,0.4375,104,36,120
33,20210218,Food104,18,6,0.3333333333333333,104,36,120
34,20210218,Food104,12,2,0.16666666666666666,104,36,120
35,20210218,Food104,12,5,0.4166666666666667,104,36,120
36,20210218,Food104,13,5,0.38461538461538464,104,36,120
37,20210218,Food104,11,4,0.36363636363636365,104,36,120
38,20210218,Food104,10,5,0.5,104,36,120
39,20210218,Food104,8,1,0.125,104,36,120
40,20210218,Food104,12,5,0.4166666666666667,104,36,120
1,20210218,Food106,0,0,NA,106,18,160
2,20210218,Food106,0,0,NA,106,18,160
3,20210218,Food106,0,0,NA,106,18,160
4,20210218,Food106,0,0,NA,106,18,160
5,20210218,Food106,0,0,NA,106,18,160
6,20210218,Food106,0,0,NA,106,18,160
7,20210218,Food106,0,0,NA,106,18,160
8,20210218,Food106,0,0,NA,106,18,160
9,20210218,Food106,0,0,NA,106,18,160
10,20210218,Food106,0,0,NA,106,18,160
11,20210218,Food106,0,0,NA,106,18,160
12,20210218,Food106,0,0,NA,106,18,160
13,20210218,Food106,0,0,NA,106,18,160
14,20210218,Food106,0,0,NA,106,18,160
15,20210218,Food106,0,0,NA,106,18,160
16,20210218,Food106,0,0,NA,106,18,160
17,20210218,Food106,0,0,NA,106,18,160
18,20210218,Food106,0,0,NA,106,18,160
19,20210218,Food106,0,0,NA,106,18,160
20,20210218,Food106,0,0,NA,106,18,160
21,20210218,Food106,0,0,NA,106,18,160
22,20210218,Food106,0,0,NA,106,18,160
23,20210218,Food106,0,0,NA,106,18,160
24,20210218,Food106,0,0,NA,106,18,160
25,20210218,Food106,0,0,NA,106,18,160
26,20210218,Food106,0,0,NA,106,18,160
27,20210218,Food106,0,0,NA,106,18,160
28,20210218,Food106,0,0,NA,106,18,160
29,20210218,Food106,0,0,NA,106,18,160
30,20210218,Food106,0,0,NA,106,18,160
31,20210218,Food106,1,1,1,106,18,160
32,20210218,Food106,1,1,1,106,18,160
33,20210218,Food106,2,1,0.5,106,18,160
34,20210218,Food106,3,3,1,106,18,160
35,20210218,Food106,0,0,NA,106,18,160
36,20210218,Food106,0,0,NA,106,18,160
37,20210218,Food106,0,0,NA,106,18,160
38,20210218,Food106,0,0,NA,106,18,160
39,20210218,Food106,0,0,NA,106,18,160
40,20210218,Food106,0,0,NA,106,18,160
1,20210219,Food101,0,0,NA,101,18,40
2,20210219,Food101,0,0,NA,101,18,40
3,20210219,Food101,0,0,NA,101,18,40
4,20210219,Food101,0,0,NA,101,18,40
5,20210219,Food101,0,0,NA,101,18,40
6,20210219,Food101,0,0,NA,101,18,40
7,20210219,Food101,0,0,NA,101,18,40
8,20210219,Food101,0,0,NA,101,18,40
9,20210219,Food101,0,0,NA,101,18,40
10,20210219,Food101,0,0,NA,101,18,40
11,20210219,Food101,0,0,NA,101,18,40
12,20210219,Food101,0,0,NA,101,18,40
13,20210219,Food101,0,0,NA,101,18,40
14,20210219,Food101,0,0,NA,101,18,40
15,20210219,Food101,0,0,NA,101,18,40
16,20210219,Food101,0,0,NA,101,18,40
