frame,date,site,crow_all,crow_feed,proportion
30,20210212,Food106,14,5,0.35714285714285715
31,20210212,Food106,14,6,0.42857142857142855
32,20210212,Food106,15,6,0.4
33,20210212,Food106,13,6,0.46153846153846156
34,20210212,Food106,0,0,NA
35,20210212,Food106,7,1,0.14285714285714285
36,20210212,Food106,9,6,0.6666666666666666
37,20210212,Food106,9,4,0.4444444444444444
38,20210212,Food106,10,5,0.5
39,20210212,Food106,11,4,0.36363636363636365
40,20210212,Food106,15,7,0.4666666666666667
1,20210213,Food101,2,0,0
2,20210213,Food101,0,0,NA
3,20210213,Food101,0,0,NA
4,20210213,Food101,0,0,NA
5,20210213,Food101,0,0,NA
6,20210213,Food101,0,0,NA
7,20210213,Food101,0,0,NA
8,20210213,Food101,0,0,NA
9,20210213,Food101,0,0,NA
10,20210213,Food101,0,0,NA
11,20210213,Food101,0,0,NA
12,20210213,Food101,0,0,NA
13,20210213,Food101,0,0,NA
14,20210213,Food101,0,0,NA
15,20210213,Food101,0,0,NA
16,20210213,Food101,13,5,0.38461538461538464
17,20210213,Food101,11,5,0.45454545454545453
18,20210213,Food101,0,0,NA
19,20210213,Food101,14,5,0.35714285714285715
20,20210213,Food101,11,2,0.18181818181818182
21,20210213,Food101,15,9,0.6
22,20210213,Food101,13,9,0.6923076923076923
23,20210213,Food101,12,10,0.8333333333333334
24,20210213,Food101,17,13,0.7647058823529411
25,20210213,Food101,17,8,0.47058823529411764
26,20210213,Food101,18,9,0.5
27,20210213,Food101,19,10,0.5263157894736842
28,20210213,Food101,19,2,0.10526315789473684
29,20210213,Food101,2,0,0
30,20210213,Food101,10,3,0.3
31,20210213,Food101,18,6,0.3333333333333333
32,20210213,Food101,18,8,0.4444444444444444
33,20210213,Food101,15,10,0.6666666666666666
34,20210213,Food101,18,11,0.6111111111111112
35,20210213,Food101,19,11,0.5789473684210527
36,20210213,Food101,20,8,0.4
37,20210213,Food101,20,12,0.6
38,20210213,Food101,0,0,NA
39,20210213,Food101,24,15,0.625
40,20210213,Food101,29,18,0.6206896551724138
1,20210213,Food102,0,0,NA
2,20210213,Food102,0,0,NA
3,20210213,Food102,0,0,NA
4,20210213,Food102,0,0,NA
5,20210213,Food102,0,0,NA
6,20210213,Food102,0,0,NA
7,20210213,Food102,0,0,NA
8,20210213,Food102,0,0,NA
9,20210213,Food102,0,0,NA
10,20210213,Food102,0,0,NA
11,20210213,Food102,0,0,NA
12,20210213,Food102,0,0,NA
13,20210213,Food102,0,0,NA
14,20210213,Food102,0,0,NA
15,20210213,Food102,0,0,NA
16,20210213,Food102,0,0,NA
17,20210213,Food102,0,0,NA
18,20210213,Food102,0,0,NA
19,20210213,Food102,0,0,NA
20,20210213,Food102,0,0,NA
21,20210213,Food102,0,0,NA
22,20210213,Food102,0,0,NA
23,20210213,Food102,0,0,NA
24,20210213,Food102,0,0,NA
25,20210213,Food102,0,0,NA
26,20210213,Food102,0,0,NA
27,20210213,Food102,0,0,NA
28,20210213,Food102,0,0,NA
29,20210213,Food102,0,0,NA
30,20210213,Food102,0,0,NA
31,20210213,Food102,0,0,NA
32,20210213,Food102,0,0,NA
33,20210213,Food102,0,0,NA
34,20210213,Food102,0,0,NA
35,20210213,Food102,0,0,NA
36,20210213,Food102,0,0,NA
37,20210213,Food102,0,0,NA
38,20210213,Food102,0,0,NA
39,20210213,Food102,0,0,NA
40,20210213,Food102,0,0,NA
1,20210213,Food104,6,2,0.3333333333333333
2,20210213,Food104,13,7,0.5384615384615384
3,20210213,Food104,17,10,0.5882352941176471
4,20210213,Food104,11,3,0.2727272727272727
5,20210213,Food104,14,4,0.2857142857142857
6,20210213,Food104,18,5,0.2777777777777778
7,20210213,Food104,16,4,0.25
8,20210213,Food104,16,5,0.3125
9,20210213,Food104,14,4,0.2857142857142857
10,20210213,Food104,18,6,0.3333333333333333
11,20210213,Food104,12,3,0.25
12,20210213,Food104,14,1,0.07142857142857142
13,20210213,Food104,11,4,0.36363636363636365
14,20210213,Food104,14,3,0.21428571428571427
15,20210213,Food104,10,4,0.4
16,20210213,Food104,17,5,0.29411764705882354
17,20210213,Food104,19,5,0.2631578947368421
18,20210213,Food104,14,6,0.42857142857142855
19,20210213,Food104,15,1,0.06666666666666667
20,20210213,Food104,9,2,0.2222222222222222
21,20210213,Food104,24,10,0.4166666666666667
22,20210213,Food104,0,0,NA
